iter	Passed	Remaining
134	7975	21563
135	8031	21496
136	8095	21451
137	8163	21414
138	8224	21361
139	8290	21319
140	8355	21273
141	8409	21200
142	8467	21139
143	8523	21070
144	8578	21003
145	8640	20950
146	8698	20887
147	8760	20836
148	8819	20775
149	8881	20722
150	8953	20693
151	9008	20625
152	9076	20585
153	9131	20515
154	9182	20437
155	9252	20403
156	9304	20328
157	9362	20264
158	9433	20232
159	9494	20175
160	9561	20132
161	9621	20075
162	9689	20032
163	9742	19960
164	9794	19886
165	9851	19821
166	9920	19781
167	9971	19706
168	10048	19680
169	10112	19629
170	10170	19567
171	10222	19493
172	10277	19425
173	10342	19377
174	10393	19302
175	10455	19248
176	10516	19190
177	10568	19117
178	10621	19047
179	10687	18999
180	10763	18970
181	10827	18919
182	10885	18856
183	10940	18788
184	10995	18721
185	11051	18656
186	11110	18597
187	11163	18526
188	11234	18486
189	11291	18423
190	11345	18355
191	11417	18315
192	11480	18260
193	11539	18200
194	11596	18138
195	11655	18077
196	11714	18016
197	11773	17957
198	11831	17896
199	11895	17843
200	11950	17777
201	12029	17746
202	12092	17691
203	12157	17640
204	12227	17596
205	12281	17528
206	12331	17454
207	12384	17386
208	12445	17329
209	12502	17265
210	12560	17204
211	12616	17139
212	12681	17086
213	12736	17021
214	12794	16959
215	12849	16895
216	12911	16838
217	12977	16787
218	13037	16727
219	13087	16656
220	13172	16629
221	13223	16558
222	13271	16485
223	13328	16422
224	13399	16376
225	13462	16322
226	13525	16266
227	13576	16197
228	13632	16132
229	13685	16065
230	13743	16003
231	13811	15955
232	13865	15889
233	13938	15844
234	13992	15778
235	14064	15733
236	14118	15667
237	14171	15600
238	14233	15543
239	14293	15484
240	14357	15429
241	14412	15365
242	14470	15304
243	14526	15241
244	14576	15171
245	14642	15118
246	14718	15076
247	14789	15027
248	14843	14962
249	14901	14901
250	14957	14838
251	15027	14788
252	15087	14730
253	15145	14668
254	15203	14607
255	15262	14546
256	15336	14501
257	15409	14453
258	15461	14387
259	15527	14333
260	15585	14272
261	15650	14216
262	15725	14171
263	15792	14117
264	15851	14057
265	15925	14009
266	15987	13951
267	16057	13900
268	16127	13849
269	16191	13792
270	16254	13735
271	16312	13673
272	16367	13609
273	16435	13556
274	16492	13493
275	16549	13431
276	16607	13370
277	16663	13306
278	16722	13246
279	16781	13185
280	16835	13120
281	16897	13062
282	16951	12998
283	17005	12933
284	17070	12877
285	17156	12837
286	17214	12775
287	17264	12708
288	17319	12645
289	17374	12581
290	17429	12517
291	17506	12470
292	17559	12405
293	17615	12342
294	17675	12282
295	17731	12220
296	17788	12158
297	17843	12095
298	17900	12033
299	17968	11978
300	18030	11920
301	18099	11866
302	18157	11805
303	18215	11744
304	18270	11680
305	18337	11625
306	18393	11563
307	18460	11507
308	18551	11467
309	18603	11401
310	18657	11338
311	18723	11282
312	18776	11218
313	18831	11154
314	18893	11096
315	18950	11034
316	19005	10971
317	19061	10909
318	19124	10851
319	19189	10793
320	19251	10735
321	19313	10676
322	19366	10612
323	19428	10553
324	19490	10494
325	19556	10438
326	19610	10374
327	19673	10316
328	19722	10251
329	19793	10196
330	19848	10133
331	19907	10073
332	19969	10014
333	20020	9950
334	20078	9889
335	20154	9837
336	20224	9782
337	20279	9719
338	20355	9667
339	20414	9606
340	20473	9546
341	20527	9483
342	20582	9421
343	20637	9358
344	20693	9296
345	20749	9235
346	20817	9178
347	20869	9115
348	20930	9055
349	20989	8995
350	21046	8934
351	21113	8877
352	21169	8815
353	21252	8765
354	21306	8702
355	21365	8642
356	21419	8579
357	21475	8518
358	21534	8457
359	21589	8396
360	21650	8336
361	21704	8274
362	21766	8214
363	21824	8154
364	21876	8091
365	21936	8031
366	21989	7968
367	22039	7905
368	22098	7845
369	22152	7783
370	22217	7725
371	22274	7664
372	22326	7601
373	22380	7539
374	22435	7478
375	22487	7416
376	22538	7353
377	22592	7291
378	22648	7230
379	22700	7168
380	22753	7106
381	22810	7046
382	22863	6984
383	22915	6922
384	22974	6862
385	23026	6800
386	23094	6743
387	23148	6682
388	23207	6622
389	23260	6560
390	23323	6501
391	23376	6440
392	23433	6380
393	23492	6320
394	23554	6261
395	23616	6202
396	23673	6141
397	23746	6085
398	23804	6025
399	23859	5964
400	23912	5903
