date,temperature_avg,humidity_avg,sunshine_hours,consumption_kWh
2020-01-19,0.2,86.9,1.7,26.81
2020-01-20,0.5,77.5,4.8,34.14
2020-01-21,-1.9,86.6,3.9,32.09
2020-01-22,-2.3,93.0,0.0,37.95
2020-01-23,-2.2,90.0,0.0,38.4
2020-01-24,-0.8,91.4,2.8,48.69
2020-01-25,-1.1,97.9,1.6,23.5
2020-01-26,1.2,92.8,3.2,22.9
2020-01-27,5.4,81.8,4.0,46.87
2020-01-28,4.8,78.9,0.7,31.73
2020-01-29,3.8,85.2,0.1,28.21
2020-01-30,5.8,78.4,4.7,25.4
2020-01-31,10.3,82.6,4.5,29.98
2020-02-01,9.7,80.3,2.4,38.79
2020-02-02,11.2,81.9,0.0,34.14
2020-02-03,12.9,73.3,0.0,16.17
2020-02-04,4.9,77.7,0.4,22.31
2020-02-05,2.4,72.4,3.7,21.1
2020-02-06,0.0,77.4,7.7,28.53
2020-02-07,-0.1,80.7,8.6,45.2
2020-02-08,0.8,82.3,6.7,22.79
2020-02-09,5.9,65.5,6.4,19.21
2020-02-10,10.5,64.3,1.6,18.15
2020-02-11,5.3,74.9,0.1,31.32
2020-02-12,4.2,69.2,1.0,22.95
2020-02-13,3.9,75.8,0.0,20.46
2020-02-14,5.5,80.8,1.4,42.92
2020-02-15,4.3,80.9,6.5,21.44
2020-02-16,9.4,57.3,1.3,19.75
2020-02-17,9.5,72.0,0.7,29.85
2020-02-18,5.4,68.3,5.4,27.23
2020-02-19,4.9,67.6,3.1,29.85
2020-02-20,6.8,64.7,7.3,22.86
2020-02-21,5.2,67.5,6.6,36.66
2020-02-22,6.6,66.0,8.6,14.56
2020-02-23,12.8,45.9,0.0,19.87
2020-02-24,13.7,60.8,7.9,36.72
2020-02-25,7.5,73.9,0.8,31.35
2020-02-26,2.1,80.4,1.3,29.32
2020-02-27,2.5,77.4,1.5,38.97
2020-02-28,4.8,55.1,7.7,16.41
2020-02-29,8.6,63.6,0.7,38.11
2020-03-01,8.2,70.9,7.9,25.16
2020-03-02,4.4,82.8,0.0,19.96
2020-03-03,4.1,71.4,5.2,28.67
2020-03-04,4.8,68.6,5.4,34.92
2020-03-05,5.6,86.3,0.0,26.6
2020-03-06,5.5,71.8,0.0,26.03
2020-03-07,3.9,73.5,2.1,22.96
2020-03-08,4.2,69.4,7.3,18.03
